iter	RMSE
0	11561.63121
1	11536.40563
2	11522.9314
3	11498.29192
4	11476.1596
5	11459.71317
6	11445.37151
7	11428.56464
8	11412.77807
9	11404.87743
10	11386.03985
11	11353.85897
12	11323.10857
13	11309.96542
14	11297.04417
15	11291.82103
16	11270.08007
17	11251.79709
18	11231.16655
19	11215.59105
20	11214.11672
21	11201.89367
22	11184.22543
23	11166.71748
24	11147.59646
25	11128.83481
26	11109.36608
27	11099.67331
28	11087.08867
29	11070.16764
30	11068.63381
31	11053.17899
32	11041.43815
33	11038.5275
34	10998.88322
35	10981.94929
36	10980.74813
37	10969.69704
38	10952.2186
39	10941.40407
40	10931.01032
41	10920.32305
42	10905.49943
43	10890.85894
44	10880.46789
45	10876.4562
46	10867.71787
47	10852.50346
48	10828.10627
49	10817.97715
50	10812.77078
51	10790.21731
52	10780.60051
53	10768.26871
54	10758.88043
55	10742.5665
56	10721.35112
57	10711.93932
58	10700.03467
59	10684.68165
60	10676.40203
61	10672.80682
62	10663.60019
63	10648.8114
64	10632.10847
65	10614.56587
66	10590.07823
67	10556.68933
68	10533.08256
69	10520.05366
70	10509.25105
71	10500.76291
72	10492.64894
73	10488.28573
74	10480.08139
75	10472.3645
76	10449.26818
77	10426.44409
78	10418.68673
79	10410.83241
80	10400.85998
81	10378.57077
82	10370.88684
83	10351.65527
84	10318.52459
85	10311.22385
86	10296.15096
87	10275.50322
88	10255.24069
89	10241.82463
90	10229.32349
91	10208.05293
92	10195.84192
93	10186.06671
94	10183.22005
95	10182.49399
96	10170.57315
97	10152.94553
98	10144.33355
99	10134.91864
100	10117.60443
101	10114.65876
102	10104.60887
103	10084.25774
104	10075.45915
105	10061.59678
106	10055.18201
107	10044.72156
108	10037.26581
109	10030.75956
110	10006.5615
111	9999.7972
112	9989.942221
113	9978.865696
114	9962.056784
115	9955.891478
116	9946.562948
117	9921.241668
118	9910.914598
119	9897.429906
120	9885.295135
121	9875.836849
122	9870.045291
123	9854.404962
124	9840.064714
125	9832.918038
126	9823.72855
127	9813.672641
128	9804.672338
129	9794.835124
130	9785.466622
131	9776.743989
132	9769.741657
133	9763.100989
134	9760.624875
135	9751.383895
136	9734.121531
137	9725.241957
138	9718.869739
139	9705.861899
140	9700.972971
141	9684.191751
142	9670.188215
143	9661.642995
144	9655.534575
145	9650.668944
146	9642.778777
147	9636.817147
148	9628.615306
149	9608.688816
150	9601.081454
151	9593.498769
152	9578.122907
153	9570.630931
154	9565.11784
155	9545.906789
156	9538.200068
157	9534.003779
158	9528.699328
159	9508.37291
160	9497.187524
161	9492.313615
162	9484.943853
163	9476.100047
164	9457.923185
165	9439.974321
166	9425.918892
167	9409.2345
168	9404.296144
169	9387.016954
170	9381.85019
171	9375.3549
172	9358.589785
173	9340.420961
174	9333.782611
175	9317.349517
176	9311.151778
177	9304.71442
178	9291.568835
179	9278.370184
180	9267.526813
181	9263.171045
182	9256.957728
183	9253.629291
184	9238.13113
185	9225.677798
186	9213.382137
187	9210.200434
188	9195.236869
189	9189.336265
190	9185.365875
191	9170.933727
192	9156.435013
193	9142.071515
194	9127.93752
195	9122.346137
196	9111.078154
197	9105.580944
198	9094.706836
199	9080.084613
200	9074.942757
201	9061.817692
202	9048.85482
203	9035.143077
204	9022.314313
205	9008.838313
206	8996.350619
207	8984.215979
208	8972.035105
209	8960.8125
210	8949.111755
211	8944.268418
212	8932.112979
213	8922.669884
214	8917.953032
215	8913.290362
216	8901.99177
217	8890.969272
218	8882.090201
219	8871.362216
220	8860.050106
221	8849.548489
222	8845.16091
223	8842.330454
224	8831.867049
225	8821.687987
226	8811.633304
227	8801.550198
228	8792.065285
229	8782.37024
230	8780.316709
231	8770.76086
232	8766.65203
233	8757.248998
234	8753.311804
235	8743.923474
236	8734.784172
237	8725.756303
238	8716.708521
239	8707.073693
240	8698.255446
241	8689.546316
242	8682.460474
243	8673.944665
244	8665.534025
245	8657.227174
246	8648.937558
247	8641.317681
248	8633.314317
249	8625.517431
250	8619.068089
251	8611.440545
252	8603.800802
253	8602.153519
254	8594.692138
255	8587.254334
256	8585.639632
257	8578.406948
258	8571.261194
259	8564.105874
260	8557.204362
261	8550.21997
262	8543.708974
263	8536.888008
264	8535.415938
265	8528.780954
266	8522.138399
267	8515.661961
268	8509.247526
269	8502.924562
270	8496.594962
271	8490.495994
272	8484.316291
273	8478.211446
274	8472.180492
275	8466.222477
276	8460.410151
277	8454.666732
278	8448.919116
279	8443.311628
280	8437.700339
281	8432.156603
282	8426.74696
283	8421.555419
284	8416.270247
285	8410.982592
286	8405.818102
287	8400.655507
288	8395.554742
289	8390.574787
290	8385.594128
291	8380.730965
292	8375.924809
293	8371.118128
294	8366.368758
295	8361.675974
296	8357.092493
297	8352.509644
298	8347.981274
299	8343.559014
300	8339.136645
301	8334.766732
302	8330.448611
303	8326.228296
304	8322.057024
305	8317.93419
306	8313.859197
307	8309.786655
308	8305.762181
309	8301.9373
310	8298.047119
311	8294.160339
312	8290.360014
313	8286.603582
314	8282.890506
315	8279.180784
316	8275.553238
317	8271.929246
318	8268.347745
319	8264.844794
320	8261.345895
321	8257.887936
322	8254.470409
323	8251.126691
324	8247.82131
325	8244.645203
326	8241.41377
327	8238.219322
328	8235.029625
329	8231.908139
330	8228.822312
331	8225.800532
332	8222.754102
333	8219.772504
334	8216.824885
335	8213.910837
336	8211.001407
337	8208.125689
338	8205.283273
339	8202.500385
340	8199.722736
341	8197.002944
342	8194.314
343	8191.630313
344	8189.002226
345	8186.403622
346	8183.834507
347	8181.27089
348	8178.75979
349	8176.277061
350	8173.822367
351	8171.395375
352	8168.973691
353	8166.579814
354	8164.234429
355	8161.915457
356	8159.601996
357	8157.335132
358	8155.093755
359	8152.85789
360	8150.666797
361	8148.481306
362	8146.320789
363	8144.203015
364	8142.10898
365	8140.038406
366	8137.99102
367	8135.94922
368	8133.947578
369	8131.968319
370	8130.011181
371	8128.059534
372	8126.14604
373	8124.23811
374	8122.367245
375	8120.502012
376	8118.65795
377	8116.834807
378	8115.060324
379	8113.291568
380	8111.528714
381	8109.799236
382	8108.088985
383	8106.397739
384	8104.725279
385	8103.071389
386	8101.435854
387	8099.805866
388	8098.206542
389	8096.624946
390	8095.060874
391	8093.502246
392	8091.972745
393	8090.460171
394	8088.964329
395	8087.47383
396	8086.010998
397	8084.564331
398	8083.133642
399	8081.71875
400	8080.319474
401	8078.94515
402	8077.576392
403	8076.222725
404	8074.893485
405	8073.579156
406	8072.269368
407	8070.964302
408	8069.683299
409	8068.416394
410	8067.163426
411	8065.924237
412	8064.689626
413	8063.477624
414	8062.278936
415	8061.093413
416	8059.920906
417	8058.761267
418	8057.614352
419	8056.480016
420	8055.358118
421	8054.248517
422	8053.151076
423	8052.065656
424	8050.992124
425	8049.930344
426	8048.880185
427	8047.841516
428	8046.814208
429	8045.804581
430	8044.799487
431	8043.811891
432	8042.828515
433	8041.855882
434	8040.893872
435	8039.942366
436	8039.001246
437	8038.070396
438	8037.149701
439	8036.239049
440	8035.338326
441	8034.447422
442	8033.566227
443	8032.694633
444	8031.832534
445	8030.979822
446	8030.136394
447	8029.302147
448	8028.476978
449	8027.660786
450	8026.853471
451	8026.054935
452	8025.26508
453	8024.48381
454	8023.71103
455	8022.946645
456	8022.190562
457	8021.44673
458	8020.706895
459	8019.975092
460	8019.25123
461	8018.535223
462	8017.826983
463	8017.126424
464	8016.433462
465	8015.748013
466	8015.069992
467	8014.39932
468	8013.735913
469	8013.079693
470	8012.43058
471	8011.788496
472	8011.153362
473	8010.525103
474	8009.903643
475	8009.288907
476	8008.680821
477	8008.079312
478	8007.484307
479	8006.895735
480	8006.313525
481	8005.737608
482	8005.167914
483	8004.604375
484	8004.046923
485	8003.495492
486	8002.950015
487	8002.410428
488	8001.876665
489	8001.348663
490	8000.826359
491	8000.30969
492	7999.798595
493	7999.293013
494	7998.792883
495	7998.298145
496	7997.808741
497	7997.324613
498	7996.845702
499	7996.371952
500	7995.903307
501	7995.43971
502	7994.981107
503	7994.527442
504	7994.078663
505	7993.634716
506	7993.195548
507	7992.761106
508	7992.331341
509	7991.9062
510	7991.485633
511	7991.069591
512	7990.658023
513	7990.250882
514	7989.84812
515	7989.449688
516	7989.055539
517	7988.665628
518	7988.279907
519	7987.898332
520	7987.520856
521	7987.147437
522	7986.778029
523	7986.41259
524	7986.051075
525	7985.693443
526	7985.339651
527	7984.989658
528	7984.643422
529	7984.300902
530	7983.96206
531	7983.626853
532	7983.295244
533	7982.967193
534	7982.642661
535	7982.321611
536	7982.004005
537	7981.689805
538	7981.378974
539	7981.071477
540	7980.767277
541	7980.466338
542	7980.168625
543	7979.874104
544	7979.582739
545	7979.294497
546	7979.009343
547	7978.727245
548	7978.44817
549	7978.172084
550	7977.898956
551	7977.628753
552	7977.361444
553	7977.096998
554	7976.835384
555	7976.576571
556	7976.320529
557	7976.067228
558	7975.816639
559	7975.568732
560	7975.323478
561	7975.080849
562	7974.840817
563	7974.603353
564	7974.36843
565	7974.13602
566	7973.906097
567	7973.678633
568	7973.453603
569	7973.230979
570	7973.010736
571	7972.792849
572	7972.577291
573	7972.364039
574	7972.153067
575	7971.94435
576	7971.737864
577	7971.533586
578	7971.331491
579	7971.131557
580	7970.933759
581	7970.738075
582	7970.544482
583	7970.352958
584	7970.16348
585	7969.976027
586	7969.790577
587	7969.607107
588	7969.425598
589	7969.246027
590	7969.068375
591	7968.892619
592	7968.718741
593	7968.54672
594	7968.376536
595	7968.208169
596	7968.041599
597	7967.876809
598	7967.713777
599	7967.552486
600	7967.392917
601	7967.235051
602	7967.07887
603	7966.924357
604	7966.771492
605	7966.620259
606	7966.47064
607	7966.322617
608	7966.176174
609	7966.031294
610	7965.887959
611	7965.746154
612	7965.605861
613	7965.467066
614	7965.329751
615	7965.1939
616	7965.059499
617	7964.926532
618	7964.794982
619	7964.664836
620	7964.536078
621	7964.408693
622	7964.282666
623	7964.157983
624	7964.03463
625	7963.912592
626	7963.791856
627	7963.672406
628	7963.55423
629	7963.437314
630	7963.321645
631	7963.207209
632	7963.093992
633	7962.981982
634	7962.871166
635	7962.761532
636	7962.653066
637	7962.545756
638	7962.439589
639	7962.334554
640	7962.230639
641	7962.12783
642	7962.026118
643	7961.925489
644	7961.825932
645	7961.727437
646	7961.62999
647	7961.533582
648	7961.438201
649	7961.343836
650	7961.250477
651	7961.158112
652	7961.066731
653	7960.976323
654	7960.886879
655	7960.798387
656	7960.710838
657	7960.624221
658	7960.538527
659	7960.453745
660	7960.369867
661	7960.286881
662	7960.20478
663	7960.123553
664	7960.043191
665	7959.963684
666	7959.885025
667	7959.807202
668	7959.730209
669	7959.654035
670	7959.578673
671	7959.504112
672	7959.430346
673	7959.357365
674	7959.285161
675	7959.213726
676	7959.143051
677	7959.073128
678	7959.00395
679	7958.935509
680	7958.867795
681	7958.800803
682	7958.734524
683	7958.66895
684	7958.604074
685	7958.539889
686	7958.476387
687	7958.413561
688	7958.351403
689	7958.289907
690	7958.229065
691	7958.168871
692	7958.109318
693	7958.050398
694	7957.992106
695	7957.934433
696	7957.877375
697	7957.820923
698	7957.765072
699	7957.709816
700	7957.655147
701	7957.601061
702	7957.547549
703	7957.494607
704	7957.442229
705	7957.390407
706	7957.339138
707	7957.288413
708	7957.238228
709	7957.188577
710	7957.139455
711	7957.090854
712	7957.042771
713	7956.9952
714	7956.948134
715	7956.901569
716	7956.8555
717	7956.809921
718	7956.764826
719	7956.720211
720	7956.676071
721	7956.6324
722	7956.589194
723	7956.546447
724	7956.504155
725	7956.462313
726	7956.420916
727	7956.379959
728	7956.339438
729	7956.299348
730	7956.259684
731	7956.220442
732	7956.181617
733	7956.143206
734	7956.105202
735	7956.067603
736	7956.030404
737	7955.993601
738	7955.957188
739	7955.921163
740	7955.885522
741	7955.850259
742	7955.815371
743	7955.780854
744	7955.746704
745	7955.712918
746	7955.67949
747	7955.646418
748	7955.613698
749	7955.581326
750	7955.549297
751	7955.51761
752	7955.486259
753	7955.455242
754	7955.424554
755	7955.394193
756	7955.364155
757	7955.334436
758	7955.305033
759	7955.275942
760	7955.247161
761	7955.218686
762	7955.190514
763	7955.162641
764	7955.135064
765	7955.107781
766	7955.080788
767	7955.054081
768	7955.027659
769	7955.001517
770	7954.975654
771	7954.950065
772	7954.924749
773	7954.899701
774	7954.87492
775	7954.850402
776	7954.826145
777	7954.802146
778	7954.778402
779	7954.75491
780	7954.731668
781	7954.708673
782	7954.685923
783	7954.663414
784	7954.641145
785	7954.619112
786	7954.597314
787	7954.575747
788	7954.554409
789	7954.533299
790	7954.512412
791	7954.491748
792	7954.471304
793	7954.451076
794	7954.431064
795	7954.411264
796	7954.391675
797	7954.372294
798	7954.353119
799	7954.334148
800	7954.315379
801	7954.296809
802	7954.278436
803	7954.260259
804	7954.242274
805	7954.224481
806	7954.206878
807	7954.189461
808	7954.172229
809	7954.155181
810	7954.138313
811	7954.121625
812	7954.105114
813	7954.088779
814	7954.072617
815	7954.056628
816	7954.040808
817	7954.025156
818	7954.00967
819	7953.994349
820	7953.979191
821	7953.964194
822	7953.949357
823	7953.934677
824	7953.920153
825	7953.905783
826	7953.891567
827	7953.877501
828	7953.863585
829	7953.849816
830	7953.836194
831	7953.822717
832	7953.809383
833	7953.79619
834	7953.783138
835	7953.770225
836	7953.757448
837	7953.744808
838	7953.732302
839	7953.719928
840	7953.707687
841	7953.695575
842	7953.683592
843	7953.671736
844	7953.660007
845	7953.648402
846	7953.63692
847	7953.62556
848	7953.614321
849	7953.603202
850	7953.5922
851	7953.581316
852	7953.570547
853	7953.559893
854	7953.549352
855	7953.538922
856	7953.528604
857	7953.518395
858	7953.508295
859	7953.498302
860	7953.488415
861	7953.478634
862	7953.468956
863	7953.459381
864	7953.449908
865	7953.440535
866	7953.431263
867	7953.422088
868	7953.413011
869	7953.404031
870	7953.395146
871	7953.386355
872	7953.377658
873	7953.369053
874	7953.36054
875	7953.352117
876	7953.343783
877	7953.335539
878	7953.327381
879	7953.319311
880	7953.311326
881	7953.303426
882	7953.29561
883	7953.287877
884	7953.280226
885	7953.272656
886	7953.265167
887	7953.257758
888	7953.250427
889	7953.243174
890	7953.235998
891	7953.228898
892	7953.221874
893	7953.214925
894	7953.208049
895	7953.201246
896	7953.194516
897	7953.187857
898	7953.181269
899	7953.17475
900	7953.168302
901	7953.161921
902	7953.155609
903	7953.149363
904	7953.143184
905	7953.13707
906	7953.131022
907	7953.125038
908	7953.119117
909	7953.113259
910	7953.107463
911	7953.101729
912	7953.096056
913	7953.090444
914	7953.08489
915	7953.079396
916	7953.07396
917	7953.068582
918	7953.063261
919	7953.057997
920	7953.052789
921	7953.047636
922	7953.042537
923	7953.037493
924	7953.032502
925	7953.027565
926	7953.02268
927	7953.017846
928	7953.013065
929	7953.008333
930	7953.003653
931	7952.999022
932	7952.99444
933	7952.989906
934	7952.985421
935	7952.980984
936	7952.976594
937	7952.97225
938	7952.967953
939	7952.963701
940	7952.959494
941	7952.955332
942	7952.951215
943	7952.947141
944	7952.94311
945	7952.939122
946	7952.935177
947	7952.931273
948	7952.927411
949	7952.92359
950	7952.919809
951	7952.916069
952	7952.912368
953	7952.908707
954	7952.905085
955	7952.901501
956	7952.897955
957	7952.894447
958	7952.890976
959	7952.887542
960	7952.884144
961	7952.880783
962	7952.877457
963	7952.874167
964	7952.870911
965	7952.86769
966	7952.864504
967	7952.861351
968	7952.858232
969	7952.855146
970	7952.852092
971	7952.849071
972	7952.846082
973	7952.843125
974	7952.8402
975	7952.837305
976	7952.834441
977	7952.831608
978	7952.828805
979	7952.826031
980	7952.823287
981	7952.820572
982	7952.817886
983	7952.815228
984	7952.812599
985	7952.809998
986	7952.807424
987	7952.804878
988	7952.802358
989	7952.799866
990	7952.7974
991	7952.79496
992	7952.792546
993	7952.790157
994	7952.787795
995	7952.785457
996	7952.783144
997	7952.780855
998	7952.778591
999	7952.776351
